Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,183703
design__instance__area,956755
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,592
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,148
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.0006227352423593402
power__switching__total,0.00024028128245845437
power__leakage__total,0.0000010389223916718038
power__total,0.000864055473357439
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.6140110815804114
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.40461554696415614
timing__hold__ws__corner:nom_tt_025C_1v80,0.40946447391691915
timing__setup__ws__corner:nom_tt_025C_1v80,595.0088448140204
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.409464
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,5944
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,148
design__max_cap_violation__count__corner:nom_ss_100C_1v60,34
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.8864624840641359
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.5173160934936599
timing__hold__ws__corner:nom_ss_100C_1v60,1.047483684994636
timing__setup__ws__corner:nom_ss_100C_1v60,591.0598755506568
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.047484
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,199
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,148
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.49794103583144994
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.35373824315417035
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1802592570675967
timing__setup__ws__corner:nom_ff_n40C_1v95,596.5650471361852
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.180259
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,7535
design__max_fanout_violation__count,148
design__max_cap_violation__count,42
clock__skew__worst_hold,-0.48431948711247524
clock__skew__worst_setup,0.34748935268333697
timing__hold__ws,0.16885804343836525
timing__setup__ws,590.6960776596587
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.168858
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1000.0 1000.0
design__core__bbox,10.12 10.88 989.92 987.36
design__io,157
design__die__area,1E+6
design__core__area,956755
design__instance__count__stdcell,49514
design__instance__area__stdcell,497302
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.51978
design__instance__utilization__stdcell,0.51978
design__rows,359
design__rows:unithd,359
design__sites,764670
design__sites:unithd,764670
design__instance__count__class:inverter,4
design__instance__area__class:inverter,15.0144
design__instance__count__class:sequential_cell,8224
design__instance__area__class:sequential_cell,174928
design__instance__count__class:multi_input_combinational_cell,13440
design__instance__area__class:multi_input_combinational_cell,165050
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,134189
design__instance__area__class:fill_cell,459453
design__instance__count__class:tap_cell,13537
design__instance__area__class:tap_cell,16937.5
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,155
design__io__hpwl,62228926
flow__warnings__count:GRT-0281,3
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,31260.9
design__instance__displacement__mean,0.626
design__instance__displacement__max,13.6
route__wirelength__estimated,1.32652E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,12609
design__instance__area__class:timing_repair_buffer,120160
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,1330
design__instance__area__class:clock_buffer,19063.3
design__instance__count__class:clock_inverter,59
design__instance__area__class:clock_inverter,370.355
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,8216
global_route__vias,11
global_route__wirelength,2029055
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,100
design__instance__count__class:antenna_cell,311
design__instance__area__class:antenna_cell,778.246
route__net,35368
route__net__special,2
route__drc_errors__iter:0,9
route__wirelength__iter:0,1496975
route__drc_errors__iter:1,1
route__wirelength__iter:1,1496975
route__drc_errors__iter:2,1
route__wirelength__iter:2,1496975
route__drc_errors__iter:3,0
route__wirelength__iter:3,1496975
route__drc_errors__iter:4,0
route__wirelength__iter:4,1497028
route__drc_errors__iter:5,3
route__wirelength__iter:5,1496813
route__drc_errors__iter:6,0
route__wirelength__iter:6,1496812
route__drc_errors,0
route__wirelength,1496975
route__vias,245600
route__vias__singlecut,245600
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,1488.07
timing__unannotated_net__count__corner:nom_tt_025C_1v80,390
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
