Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,343975
design__instance__area,1.3891E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,483
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,96
design__max_cap_violation__count__corner:nom_tt_025C_1v80,21
power__internal__total,0.001967368647456169
power__switching__total,0.0022550425492227077
power__leakage__total,0.000001361328372695425
power__total,0.004223772324621677
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.6782414821744251
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.4847582472642161
timing__hold__ws__corner:nom_tt_025C_1v80,0.3123010827228309
timing__setup__ws__corner:nom_tt_025C_1v80,594.7942609017521
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.312301
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,984.012329
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,6589
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,96
design__max_cap_violation__count__corner:nom_ss_100C_1v60,35
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-1.014575119301794
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.6751870365026907
timing__hold__ws__corner:nom_ss_100C_1v60,0.8900340716353663
timing__setup__ws__corner:nom_ss_100C_1v60,590.7123917213331
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.890034
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,970.506348
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,109
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,96
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,21
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.5389336907067336
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4051208649881056
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10650747252281204
timing__setup__ws__corner:nom_ff_n40C_1v95,596.4904117251101
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.106507
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,989.374878
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,7638
design__max_fanout_violation__count,96
design__max_cap_violation__count,48
clock__skew__worst_hold,-0.5287399556732343
clock__skew__worst_setup,0.4001580013942181
timing__hold__ws,0.10536360970819009
timing__setup__ws,590.1660127637904
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.105364
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,968.959290
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1200.0 1200.0
design__core__bbox,10.12 10.88 1189.56 1188.64
design__io,365
design__die__area,1.44E+6
design__core__area,1.3891E+6
design__instance__count__stdcell,51199
design__instance__area__stdcell,352348
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.253652
design__instance__utilization__stdcell,0.253652
design__rows,433
design__rows:unithd,433
design__sites,1110212
design__sites:unithd,1110212
design__instance__count__class:buffer,3632
design__instance__area__class:buffer,14910.6
design__instance__count__class:inverter,361
design__instance__area__class:inverter,1360.05
design__instance__count__class:sequential_cell,2560
design__instance__area__class:sequential_cell,65983.3
design__instance__count__class:multi_input_combinational_cell,20689
design__instance__area__class:multi_input_combinational_cell,209134
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,292776
design__instance__area__class:fill_cell,1.03675E+6
design__instance__count__class:tap_cell,19792
design__instance__area__class:tap_cell,24763.8
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,363
design__io__hpwl,188928747
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,2531.08
design__instance__displacement__mean,0.049
design__instance__displacement__max,13.72
route__wirelength__estimated,1.2894E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,3171
design__instance__area__class:timing_repair_buffer,28357.2
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,400
design__instance__area__class:clock_buffer,5711.73
design__instance__count__class:clock_inverter,71
design__instance__area__class:clock_inverter,818.285
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,339
global_route__vias,325
global_route__wirelength,1969915
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,225
design__instance__count__class:antenna_cell,523
design__instance__area__class:antenna_cell,1308.76
flow__warnings__count:GRT-0243,2
route__net,30832
route__net__special,2
route__drc_errors__iter:0,793
route__wirelength__iter:0,1491414
route__drc_errors__iter:1,272
route__wirelength__iter:1,1491213
route__drc_errors__iter:2,265
route__wirelength__iter:2,1491186
route__drc_errors__iter:3,7
route__wirelength__iter:3,1491183
route__drc_errors__iter:4,0
route__wirelength__iter:4,1491189
route__drc_errors__iter:5,0
route__wirelength__iter:5,1491191
route__drc_errors__iter:6,2
route__wirelength__iter:6,1490908
route__drc_errors__iter:7,0
route__wirelength__iter:7,1490914
route__drc_errors,0
route__wirelength,1491189
route__vias,253984
route__vias__singlecut,253984
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
